route_idx,route_progress_m,x,y,z,yaw_deg,road_option,road_id,section_id,lane_id,waypoint_s,lane_width_m,is_junction,junction_id
99,182.05440902876316,91.27943420410156,12.035527229309082,0.0,-203.572998046875,RIGHT,655,0,1,9.119739618248701,3.5,True,532
100,183.8625775583892,89.58518981933594,12.66719913482666,0.0,-197.32144165039062,RIGHT,655,0,1,7.119739618248703,3.5,True,532
101,185.6707366599015,87.83224487304688,13.110621452331543,0.0,-191.06985473632812,RIGHT,655,0,1,5.119739618248705,3.5,True,532
102,187.47889103079243,86.04144287109375,13.360522270202637,0.0,-184.81826782226562,RIGHT,655,0,1,3.119739618248707,3.5,True,532
103,190.44560471606619,83.07522583007812,13.414804458618164,0.0,180.15919494628906,RIGHT,21,0,5,25.629999999999974,3.5,False,
104,190.44560471606619,83.07522583007812,13.414804458618164,0.0,180.15919494628906,LANEFOLLOW,21,0,5,25.629999999999974,3.5,False,
105,192.44560480426625,81.07523345947266,13.409248352050781,0.0,180.15919494628906,LANEFOLLOW,21,0,5,23.629999999999978,3.5,False,
106,194.44560489776595,79.07524108886719,13.403690338134766,0.0,180.15919494628906,LANEFOLLOW,21,0,5,21.62999999999998,3.5,False,
107,196.445604985966,77.07524871826172,13.398134231567383,0.0,180.15919494628906,LANEFOLLOW,21,0,5,19.629999999999985,3.5,False,
108,198.4456050794657,75.07525634765625,13.392576217651367,0.0,180.15919494628906,LANEFOLLOW,21,0,5,17.62999999999999,3.5,False,
109,200.44560516766578,73.07526397705078,13.387020111083984,0.0,180.15919494628906,LANEFOLLOW,21,0,5,15.62999999999999,3.5,False,
110,202.44560526116547,71.07527160644531,13.381462097167969,0.0,180.15919494628906,LANEFOLLOW,21,0,5,13.629999999999992,3.5,False,
111,204.44560534936554,69.07527923583984,13.375905990600586,0.0,180.15919494628906,LANEFOLLOW,21,0,5,11.629999999999994,3.5,False,
